Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Asset Contact Person,Comments
Site,HEET WWTP,RD-HET-STP-OT-SW-01,RD-HET-STP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,HEET WWTP,RD-HET-STP-OT-SW-02,RD-HET-STP-OT-SW-02,OT Switch,OT Switch,Cisco,,,,,,,,
Site,HEET WWTP,RD-HET-STP-OT-VMD-01,RD-HET-STP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1487,,,,,
Site,HAYER WWTP,RD-HYR-STP-OT-FW-01,RD-HYR-STP-OT-FW-01,OT Firewall,OT Firewall,PaloAlto,PA 220,,12801214519,,,,,
Site,HAYER WWTP,RD-HYR-STP-OT-SW-01,RD-HYR-STP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,HAYER WWTP,RD-HYR-STP-OT-VMD-01,RD-HYR-STP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1488,,,,,
Site,Hayer WTP,RD-HYR-WTP-OT-FW-01,RD-HYR-WTP-OT-FW-01,OT Firewall,OT Firewall,PaloAlto,PA 220,,,,,,,
Site,Malaz WTP,RD-MLZ-WTP-OT-FW-01,RD-MLZ-WTP-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214662,,,,,
Site,Malaz WTP,RD-MLZ-WTP-OT-SW-01,RD-MLZ-WTP-OT-SW-01,OT Switch,OT Switch,Cisco,C3560,,,,,,,
Site,Malaz WTP,RD-MLZ-WTP-OT-SW-02,RD-MLZ-WTP-OT-SW-02,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Malaz WTP,RD-MLZ-WTP-OT-VMD-01,RD-MLZ-WTP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1475,,,,,
Site,Manfouha WWTP,RD-MNF-STP-OT-FW-01,RD-MNF-STP-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214544,,,,,
Site,Manfouha WWTP,RD-MNF-STP-OT-SW-01,RD-MNF-STP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Manfouha WWTP,RD-MNF-STP-OT-SW-02,RD-MNF-STP-OT-SW-02,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Manfouha WWTP,RD-MNF-STP-OT-SW-03,RD-MNF-STP-OT-SW-03,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Manfouha WWTP,RD-MNF-STP-OT-VMD-01,RD-MNF-STP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1490,,,,,
Site,Manfouha WTP,RD-MNF-WTP-OT-FW-01,RD-MNF-WTP-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214543,,,,,
Site,Manfouha WTP,RD-MNF-WTP-OT-SW-01,RD-MNF-WTP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Manfouha WTP,RD-MNF-WTP-OT-SW-02,RD-MNF-WTP-OT-SW-02,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Manfouha WTP,RD-MNF-WTP-OT-SW-03,RD-MNF-WTP-OT-SW-03,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Manfouha WTP,RD-MNF-WTP-OT-VMD-01,RD-MNF-WTP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1485,,,,,
Site,Shomacy WTP,RD-SHM-WTP-OT-FW-01,RD-SHM-WTP-OT-FW-01,OT Firewall,OT Firewall,PaloAlto,PA 220,,12801214538,,,,,
Site,Shomacy WTP,RD-SHM-WTP-OT-SW-01,RD-SHM-WTP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Shomacy WTP,RD-SHM-WTP-OT-SW-02,RD-SHM-WTP-OT-SW-02,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Shomacy WTP,RD-SHM-WTP-OT-VMD-01,RD-SHM-WTP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1497,,,,,
Site,Salbukh WTP,RD-SLB-WTP-OT-FW-01,RD-SLB-WTP-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214664,,,,,
Site,Salbukh WTP,RD-SLB-WTP-OT-SW-01,RD-SLB-WTP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Salbukh WTP,RD-SLB-WTP-OT-SW-02,RD-SLB-WTP-OT-SW-02,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Salbukh WTP,RD-SLB-WTP-OT-SW-03,RD-SLB-WTP-OT-SW-03,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Salbukh WTP,RD-SLB-WTP-OT-VMD-01,RD-SLB-WTP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2033BA2882,,,,,
Site,TGC,RD-TGC-OT-FW-01,RD-TGC-OT-FW-01,OT Firewall,OT Firewall,Paloalto,PA 220,,12801214665,,,,,
Site,TGC,RD-TGC-OT-SW-01,RD-TGC-OT-SW-01,OT switch,OT Switch,Cisco,2960G,,FOC1050Z3WS,,,,,
Site,TGC,RD-TGC-OT-VMD-01,RD-TGC-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2033BA2863,,,,,
Site,TGE,RD-TGE-OT-FW-01,RD-TGE-OT-FW-01,OT Firewall,OT Firewall,PaloAlto,PA 220,,12801214672,,,,,This  Firewall is installed in SR02 near to TGE site with TGE IP Schema
Site,TGE,RD-TGE-OT-SW-01,RD-TGE-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,TGE,RD-TGE-OT-VMD-01,RD-TGE-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,,,,,,
Site,TGNW,RD-TGNW-OT-FW-01,RD-TGNW-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214515,,,,,
Site,TGNW,RD-TGNW-OT-SW-01,RD-TGNW-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,TGNW,RD-TGNW-OT-SW-02,RD-TGNW-OT-SW-02,OT Switch,OT Switch,Cisco,,,,,,,,
Site,TGNW,RD-TGNW-OT-VMD-01,RD-TGNW-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1468,,,,,
Site,TGW,RD-TGW-OT-FW-01,RD-TGW-OT-FW-01,OT Firewall,OT Firewall,PaloAlto,PA 220,,12801214540,,,,,
Site,TGW,RD-TGW-OT-SW-01,RD-TGW-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,TGW,RD-TGW-OT-VMD-01,RD-TGW-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2033BA2858,,,,,
Site,Wasi WTP,RD-WAS-WTP-OT-FW-01,RD-WAS-WTP-OT-FW-01,OT Firewall,OT Firewall,Paloalto,PA 220,,12801214545,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
