Standard Name,Clause Number,Clause Title,Clause Description
ECC - 1 : 2018,1/6/2004,Cybersecurity in Information and Technology Project Management,The cybersecurity requirements in project management must be reviewed periodically.
ECC - 1 : 2018,7-Jan,"Compliance with Cybersecurity Standards, Laws and Regulations",To ensure that the organization’s cybersecurity program is in compliance with related laws and regulations.
ECC - 1 : 2018,1/7/2001,"Compliance with Cybersecurity Standards, Laws and Regulations",The organization must comply with related national cybersecurity laws and regulations.
ECC - 1 : 2018,1/7/2002,"Compliance with Cybersecurity Standards, Laws and Regulations",The organization must comply with any nationally-approved international agreements and commiments related to cybersecurity.
ECC - 1 : 2018,8-Jan,Periodical Cybersecurity Review and Audit,"To ensure that cybersecurity controls are implemented and in compliance with organizational policies and procedures, as well as related national and international laws, regulations and agreements."
ECC - 1 : 2018,1/8/2001,Periodical Cybersecurity Review and Audit,Cybersecurity reviews must be conducted periodically by the cybersecurity function in the organization to assess the compliance with the cybersecurity controls in the organization.
ECC - 1 : 2018,1/8/2002,Periodical Cybersecurity Review and Audit,"Cybersecurity audits and reviews must be conducted by independent parties outside the cybersecurity function (e.g., Internal Audit function) to assess the compliance with the cybersecurity controls in the organization. Audits and reviews must be conducted independently, while ensuring that this does not result in a conflict of interest, as per the Generally Accepted Auditing Standards (GAAS), and related laws and regulations."
ECC - 1 : 2018,1/8/2003,Periodical Cybersecurity Review and Audit,"Results from the cybersecurity audits and reviews must be documented and presented to the cybersecurity steering committee and Authorizing Official. Results must include the audit/review scope, observations, recommendations and remediation plans."
ECC - 1 : 2018,9-Jan,Cybersecurity in Human Resources,"To ensure that cybersecurity risks and requirements related to personnel (employees and contractors) are managed efficiently prior to employment, during employment and after termination/separation as per organizational policies and procedures, and related laws and regulations."
ECC - 1 : 2018,1/9/2001,Cybersecurity in Human Resources,"Personnel cybersecurity requirements (prior to employment, during employment and after termination/separation) must be defined, documented and approved."
ECC - 1 : 2018,1/9/2002,Cybersecurity in Human Resources,The personnel cybersecurity requirements must be implemented.
ECC - 1 : 2018,1/9/2003,Cybersecurity in Human Resources,The personnel cybersecurity requirements prior to employment must include at least the following:
ECC - 1 : 2018,1-9-3-1 ,Cybersecurity in Human Resources,Inclusion of personnel cybersecurity responsibilities and non-disclosure clauses (covering the cybersecurity requirements during employment and after termination/ separation) in employment contracts.
ECC - 1 : 2018,1-9-3-2 ,Cybersecurity in Human Resources,Screening or vetting candidates of cybersecurity and critical/privileged positions.
ECC - 1 : 2018,1/9/2004,Cybersecurity in Human Resources,The personnel cybersecurity requirements during employment must include at least the following: 
ECC - 1 : 2018,1-9-4-1,Cybersecurity in Human Resources,Cybersecurity awareness (during on-boarding and during employment).
ECC - 1 : 2018,1-9-4-2,Cybersecurity in Human Resources,Implementation of and compliance with the cybersecurity requirements as per the organizational cybersecurity policies and procedures.
ECC - 1 : 2018,1/9/2005,Cybersecurity in Human Resources,Personnel access to information and technology assets must be reviewed and removed immediately upon termination/separation.
ECC - 1 : 2018,1/9/2006,Cybersecurity in Human Resources,Personnel cybersecurity requirements must be reviewed periodically.
ECC - 1 : 2018,10-Jan,Cybersecurity Awareness and Training Program,"To ensure that personnel are aware of their cybersecurity responsibilities and have the essential cybersecurity awareness. It is also to ensure that personnel are provided with the required cybersecurity training, skills and credentials needed to accomplish their cybersecurity responsibilities and to protect the organization’s information and technology assets."
ECC - 1 : 2018,1/10/2001,Cybersecurity Awareness and Training Program,"A cybersecurity awareness program must be developed and approved. The program must be conducted periodically through multiple channels to strengthen the awareness about cybersecurity, cyber threats and risks, and to build a positive cybersecurity awareness culture."
ECC - 1 : 2018,1/10/2002,Cybersecurity Awareness and Training Program,The cybersecurity awareness program must be implemented.
ECC - 1 : 2018,1/10/2003,Cybersecurity Awareness and Training Program,"The cybersecurity awareness program must cover the latest cyber threats and how to protect against them, and must include at least the following subjects:"
ECC - 1 : 2018,1-10-3-1,Cybersecurity Awareness and Training Program,"Secure handling of email services, especially phishing emails. . "
ECC - 1 : 2018,1-10-3-2,Cybersecurity Awareness and Training Program,Secure handling of mobile devices and storage media
ECC - 1 : 2018,1-10-3-3,Cybersecurity Awareness and Training Program,Secure Internet browsing.
ECC - 1 : 2018,1-10-3-4,Cybersecurity Awareness and Training Program,Secure use of social media.
ECC - 1 : 2018,1/10/2004,Cybersecurity Awareness and Training Program,"Essential and customized (i.e., tailored to job functions as it relates to cybersecurity) training and access to professional skillsets must be made available to personnel working directly on tasks related to cybersecurity including:"
ECC - 1 : 2018,1-10-4-1,Cybersecurity Awareness and Training Program,Cybersecurity function’s personnel.
ECC - 1 : 2018,1-10-4-2,Cybersecurity Awareness and Training Program,Personnel working on software/application development. and information and technology assets operations.
ECC - 1 : 2018,1-10-4-3,Cybersecurity Awareness and Training Program,Executive and supervisory positions.
ECC - 1 : 2018,1/10/2005,Cybersecurity Awareness and Training Program,The implementation of the cybersecurity awareness program must be reviewed periodically.
ECC - 1 : 2018,1-Feb,Asset Management,"To ensure that the organization has an accurate and detailed inventory of information and technology assets in order to support the organization’s cybersecurity and operational requirements to maintain the confidentiality, integrity and availability of information and technology assets."
ECC - 1 : 2018,2/1/2001,Asset Management,"Cybersecurity requirements for managing information and technology assets must be defined, documented and approved."
ECC - 1 : 2018,2/1/2002,Asset Management,The cybersecurity requirements for managing information and technology assets must be implemented.
ECC - 1 : 2018,2/1/2003,Asset Management,"Acceptable use policy of information and technology assets must be defined, documented and approved."
ECC - 1 : 2018,2/1/2004,Asset Management,Acceptable use policy of information and technology assets must be implemented.
ECC - 1 : 2018,2/1/2005,Asset Management,"Information and technology assets must be classified, labeled and handled as per related law and regulatory requirements."
ECC - 1 : 2018,2/1/2006,Asset Management,The cybersecurity requirements for managing information and technology assets must be reviewed periodically.
ECC - 1 : 2018,2-Feb,Identity and Access Management,To ensure the secure and restricted logical access to information and technology assets in order to prevent unauthorized access and allow only authorized access for users which are necessary to accomplish assigned tasks.
ECC - 1 : 2018,2/2/2001,Identity and Access Management,"Cybersecurity requirements for identity and access management must be defined, documented and approved."
ECC - 1 : 2018,2/2/2002,Identity and Access Management,The cybersecurity requirements for identity and access management must be implemented.
ECC - 1 : 2018,2/2/2003,Identity and Access Management,The cybersecurity requirements for identity and access management must include at least the following
ECC - 1 : 2018,2-2-3-1,Identity and Access Management,User authentication based on username and password.
ECC - 1 : 2018,2-2-3-2,Identity and Access Management,Multi-factor authentication for remote access.
ECC - 1 : 2018,2-2-3-3,Identity and Access Management,"User authorization based on identity and access control principles: Need-to-Know and Need-to-Use, Least Privilege and Segregation of Duties."
ECC - 1 : 2018,2-2-3-4,Identity and Access Management, Privileged access management.
ECC - 1 : 2018,2-2-3-5,Identity and Access Management,Periodic review of users’ identities and access rights.
ECC - 1 : 2018,2/2/2004,Identity and Access Management,The Implementation of the cybersecurity requirements for identity and access management must be reviewed periodically.
ECC - 1 : 2018,3-Feb,Information System and Information Processing Facilities Protection,To ensure the protection of information systems and information processing facilities (including workstations and infrastructures) against cyber risks.
ECC - 1 : 2018,2/3/2001,Information System and Information Processing Facilities Protection,"Cybersecurity requirements for protecting information systems and information processing facilities must be defined, documented and approved."
ECC - 1 : 2018,2/3/2002,Information System and Information Processing Facilities Protection,The cybersecurity requirements for protecting information systems and information processing facilities must be implemented.
ECC - 1 : 2018,2/3/2003,Information System and Information Processing Facilities Protection,The cybersecurity requirements for protecting information systems and information processing facilities must include at least the following:
ECC - 1 : 2018,2-3-3-2,Information System and Information Processing Facilities Protection,Restricted use and secure handling of external storage media.
ECC - 1 : 2018,2-3-3-3,Information System and Information Processing Facilities Protection," Patch management for information systems, software and devices."
ECC - 1 : 2018,2-3-3-4,Information System and Information Processing Facilities Protection,"Centralized clock synchronization with an accurate and trusted source (e.g.,Saudi Standards, Metrology and Quality Organization (SASO))."
ECC - 1 : 2018,2/3/2004,Information System and Information Processing Facilities Protection,The cybersecurity requirements for protecting information systems and information processing facilities must be reviewed periodically.
ECC - 1 : 2018,4-Feb,Email Protection,To ensure the protection of organization’s email service from cyber risks.
ECC - 1 : 2018,2/4/2001,Email Protection,"Cybersecurity requirements for protecting email service must be defined, documented and approved."
ECC - 1 : 2018,2/4/2002,Email Protection,The cybersecurity requirements for email service must be implemented.
ECC - 1 : 2018,2/4/2003,Email Protection,The cybersecurity requirements for protecting the email service must include at the least the following:
ECC - 1 : 2018,2-4-3-1,Email Protection," Analyzing and filtering email messages (specifically phishing emails and spam) using advanced and up-to-date email protection techniques.Advanced, up-to-date and secure management of malware and virus protection on servers and workstations"
ECC - 1 : 2018,2-4-3-2,Email Protection,Multi-factor authentication for remote and webmail access to email service. 
ECC - 1 : 2018,2-4-3-3,Email Protection,Email archiving and backup.
ECC - 1 : 2018,2-4-3-4,Email Protection,"Secure management and protection against Advanced Persistent Threats (APT), which normally utilize zero-day viruses and malware."
ECC - 1 : 2018,2-4-3-5,Email Protection,"Validation of the organization’s email service domains (e.g., using Sender Policy Framework (SPF))."
ECC - 1 : 2018,2/4/2004,Email Protection,The cybersecurity requirements for email service must be reviewed periodically.
ECC - 1 : 2018,5-Feb,Networks Security Management,To ensure the protection of organization’s network from cyber risks.
ECC - 1 : 2018,2/5/2001,Networks Security Management,"Cybersecurity requirements for network security management must be defined, documented and approved."
ECC - 1 : 2018,2/5/2002,Networks Security Management,The cybersecurity requirements for network security management must be implemented.
ECC - 1 : 2018,2/5/2003,Networks Security Management,The cybersecurity requirements for network security management must include at least the following:
ECC - 1 : 2018,2-5-3-1,Networks Security Management, Logical or physical segregation and segmentation of network segments using firewalls and defense-in-depth principles.
ECC - 1 : 2018,2-5-3-2,Networks Security Management,"Network segregation between production, test and development environments"
ECC - 1 : 2018,2-5-3-3,Networks Security Management,"Secure browsing and Internet connectivity including restrictions on the use of file storage/sharing and remote access websites, and protection against suspicious websites."
ECC - 1 : 2018,2-5-3-4,Networks Security Management,Wireless network protection using strong authentication and encryption techniques. A comprehensive risk assessment and management exercise must be conducted to assess and manage the cyber risks prior to connecting any wireless networks to the organization’s internal network.
ECC - 1 : 2018,2-5-3-5,Networks Security Management,"Management and restrictions on network services, protocols and ports."
ECC - 1 : 2018,2-5-3-6,Networks Security Management,Intrusion Prevention Systems (IPS).
ECC - 1 : 2018,2-5-3-7,Networks Security Management, Security of Domain Name Service (DNS).
ECC - 1 : 2018,2-5-3-8,Networks Security Management," Secure management and protection of Internet browsing channel against Advanced Persistent Threats (APT), which normally utilize zero-day viruses and malware."
ECC - 1 : 2018,2/5/2004,Networks Security Management,The cybersecurity requirements for network security management must be reviewed periodically.
ECC - 1 : 2018,6-Feb,Mobile Devices Security,"To ensure the protection of mobile devices (including laptops, smartphones, tablets) from cyber risks and to ensure the secure handling of the organization’s information (including sensitive information) while utilizing Bring Your Own Device (BYOD) policy."
ECC - 1 : 2018,2/6/2001,Mobile Devices Security,"Cybersecurity requirements for mobile devices security and BYOD must be defined, documented and approved."
ECC - 1 : 2018,2/6/2002,Mobile Devices Security,The cybersecurity requirements for mobile devices security and BYOD must be implemented.
ECC - 1 : 2018,2/6/2003,Mobile Devices Security,The cybersecurity requirements for mobile devices security and BYOD must include at least the following:
ECC - 1 : 2018,2-6-3-1,Mobile Devices Security,Separation and encryption of organization’s data and information stored on mobile devices and BYODs.
ECC - 1 : 2018,2-6-3-2,Mobile Devices Security,Controlled and restricted use based on job requirements.
ECC - 1 : 2018,2-6-3-3,Mobile Devices Security," Secure wiping of organization’s data and information stored on mobile devices and BYOD in cases of device loss, theft or after termination/separation from the organization."
ECC - 1 : 2018,2-6-3-4,Mobile Devices Security,Security awareness for mobile devices users.
ECC - 1 : 2018,2/6/2004,Mobile Devices Security,The cybersecurity requirements for mobile devices security and BYOD must be reviewed periodically.
ECC - 1 : 2018,7-Feb,Data and Information Protection,"To ensure the confidentiality, integrity and availability of organization’s data and information as per organizational policies and procedures, and related laws and regulations."
ECC - 1 : 2018,2/7/2001,Data and Information Protection,"Cybersecurity requirements for protecting and handling data and information must be defined, documented and approved as per the related laws and regulations."
ECC - 1 : 2018,2/7/2002,Data and Information Protection,The cybersecurity requirements for protecting and handling data and information must be implemented.
ECC - 1 : 2018,2/7/2003,Data and Information Protection,The cybersecurity requirements for protecting and handling data and information must include at least the following:
ECC - 1 : 2018,2-7-3-1,Data and Information Protection,Data and information ownership.
ECC - 1 : 2018,2-7-3-2,Data and Information Protection,Data and information classification and labeling mechanisms.
ECC - 1 : 2018,2-7-3-3,Data and Information Protection,Data and information privacy.
ECC - 1 : 2018,2/7/2004,Data and Information Protection,The cybersecurity requirements for protecting and handling data and information must be reviewed periodically.
ECC - 1 : 2018,8-Feb,Cryptography,"To ensure the proper and efficient use of cryptography to protect information assets as per organizational policies and procedures, and related laws and regulations."
ECC - 1 : 2018,2/8/2001,Cryptography,"Cybersecurity requirements for cryptography must be defined, documented and approved."
ECC - 1 : 2018,2/8/2002,Cryptography,The cybersecurity requirements for cryptography must be implemented.
ECC - 1 : 2018,2/8/2003,Cryptography,The cybersecurity requirements for cryptography must include at least the following:
ECC - 1 : 2018,2-8-3-1,Cryptography,Approved cryptographic solutions standards and its technical and regulatory limitations. 
ECC - 1 : 2018,2-8-3-2,Cryptography,Secure management of cryptographic keys during their lifecycles.
ECC - 1 : 2018,2-8-3-3,Cryptography,Encryption of data in-transit and at-rest as per classification and related laws and regulations.
ECC - 1 : 2018,2/8/2004,Cryptography,The cybersecurity requirements for cryptography must be reviewed periodically.
ECC - 1 : 2018,9-Feb,Backup and Recovery Management,"To ensure the protection of organization’s data and information including information systems and software configurations from cyber risks as per organizational policies and procedures, and related laws and regulations."
ECC - 1 : 2018,2/9/2001,Backup and Recovery Management,"Cybersecurity requirements for backup and recovery management must be defined, documented and approved."
ECC - 1 : 2018,2/9/2002,Backup and Recovery Management,The cybersecurity requirements for backup and recovery management must be implemented.
ECC - 1 : 2018,2/9/2003,Backup and Recovery Management,The cybersecurity requirements for backup and recovery management must include at least the following:
ECC - 1 : 2018,2-9-3-1,Backup and Recovery Management,Scope and coverage of backups to cover critical technology and information assets. 
ECC - 1 : 2018,2-9-3-2,Backup and Recovery Management,Ability to perform quick recovery of data and systems after cybersecurity incidents.
ECC - 1 : 2018, 2-9-3-3,Backup and Recovery Management, Periodic tests of backup’s recovery effectiveness.
ECC - 1 : 2018,2/9/2004,Backup and Recovery Management,The cybersecurity requirements for backup and recovery management must be reviewed periodically.
ECC - 1 : 2018,10-Feb,Vulnerabilities Management,To ensure timely detection and effective remediation of technical vulnerabilities to prevent or minimize the probability of exploiting these vulnerabilities to launch cyber attacks against the organization.
ECC - 1 : 2018,2/10/2001,Vulnerabilities Management,"Cybersecurity requirements for technical vulnerabilities management must be defined, documented and approved."
ECC - 1 : 2018,2/10/2002,Vulnerabilities Management,The cybersecurity requirements for technical vulnerabilities management must be implemented.
ECC - 1 : 2018,2/10/2003,Vulnerabilities Management,The cybersecurity requirements for technical vulnerabilities management must include at least the following:
ECC - 1 : 2018,2-10-3-1,Vulnerabilities Management,Periodic vulnerabilities assessments.
ECC - 1 : 2018,2-10-3-2,Vulnerabilities Management,Vulnerabilities classification based on criticality level.
ECC - 1 : 2018,2-10-3-3,Vulnerabilities Management,Vulnerabilities remediation based on classification and associated risk levels. 
ECC - 1 : 2018,2-10-3-4,Vulnerabilities Management,Security patch management.
ECC - 1 : 2018,2-10-3-5,Vulnerabilities Management,Subscription with authorized and trusted cybersecurity resources for up-to-date information and notifications on technical vulnerabilities.
ECC - 1 : 2018,2/10/2004,Vulnerabilities Management,The cybersecurity requirements for technical vulnerabilities management must be reviewed periodically.
ECC - 1 : 2018,11-Feb,Penetration Testing,To assess and evaluate the efficiency of the organization’s cybersecurity defense capabilities through simulated cyber-attacks to discover unknown weaknesses within the technical infrastructure that may lead to a cyber breach.
ECC - 1 : 2018,2/11/2001,Penetration Testing,"Cybersecurity requirements for penetration testing exercises must be defined, documented and approved."
ECC - 1 : 2018,2/11/2002,Penetration Testing,The cybersecurity requirements for penetration testing processes must be implemented.
ECC - 1 : 2018,2/11/2003,Penetration Testing,The cybersecurity requirements for penetration testing processes must include at least the following:
ECC - 1 : 2018,2-11-3-1,Penetration Testing,"Scope of penetration tests which must cover Internet-facing services and its technical components including infrastructure, websites, web applications, mobile apps, email and remote access."
ECC - 1 : 2018,2-11-3-2,Penetration Testing,Conducting penetration tests periodically.
ECC - 1 : 2018,2/11/2004,Penetration Testing,Cybersecurity requirements for penetration testing processes must be reviewed periodically.
ECC - 1 : 2018,12-Feb,Cybersecurity Event Logs and Monitoring Management,"To ensure timely collection, analysis and monitoring of cybersecurity events for early detection of potential cyber-attacks in order to prevent or minimize the negative impacts on the organization’s operations."
ECC - 1 : 2018,2/12/2001,Cybersecurity Event Logs and Monitoring Management,"Cybersecurity requirements for event logs and monitoring management must be defined, documented and approved."
ECC - 1 : 2018,2/12/2002,Cybersecurity Event Logs and Monitoring Management,The cybersecurity requirements for event logs and monitoring management must be implemented.
ECC - 1 : 2018,2/12/2003,Cybersecurity Event Logs and Monitoring Management,The cybersecurity requirements for event logs and monitoring management must include at least the following:
ECC - 1 : 2018,2-12-3-1,Cybersecurity Event Logs and Monitoring Management,Activation of cybersecurity event logs on critical information assets.
ECC - 1 : 2018,2-12-3-2,Cybersecurity Event Logs and Monitoring Management,Activation of cybersecurity event logs on remote access and privileged user accounts.  
ECC - 1 : 2018,2-12-3-3,Cybersecurity Event Logs and Monitoring Management,"Identification of required technologies (e.g., SIEM) for cybersecurity event logs collection."
ECC - 1 : 2018,2-12-3-4,Cybersecurity Event Logs and Monitoring Management,Continuous monitoring of cybersecurity events.
ECC - 1 : 2018,2-12-3-5,Cybersecurity Event Logs and Monitoring Management,Retention period for cybersecurity event logs (must be 12 months minimum).
ECC - 1 : 2018,2/12/2004,Cybersecurity Event Logs and Monitoring Management,The cybersecurity requirements for event logs and monitoring management must be reviewed periodically.
ECC - 1 : 2018,13-Feb,Cybersecurity Incident and Threat Management,"To ensure timely identification, detection, effective management and handling of cybersecurity incidents and threats to prevent or minimize negative impacts on organization’s operation taking into consideration the Royal Decree number 37140, dated 14/8/1438H."
ECC - 1 : 2018,2/13/2001,Cybersecurity Incident and Threat Management,"Requirements for cybersecurity incidents and threat management must be defined, documented and approved."
ECC - 1 : 2018,2/13/2002,Cybersecurity Incident and Threat Management,The requirements for cybersecurity incidents and threat management must be implemented.
ECC - 1 : 2018,2/13/2003,Cybersecurity Incident and Threat Management,The requirements for cybersecurity incidents and threat management must include at least the following:
ECC - 1 : 2018,2-13-3-1,Cybersecurity Incident and Threat Management,Cybersecurity incident response plans and escalation procedures.
ECC - 1 : 2018,2-13-3-2,Cybersecurity Incident and Threat Management,Cybersecurity incidents classification.
ECC - 1 : 2018,2-13-3-3,Cybersecurity Incident and Threat Management,Cybersecurity incidents reporting to NCA.
ECC - 1 : 2018,2-13-3-4,Cybersecurity Incident and Threat Management,"Sharing incidents notifications, threat intelligence, breach indicators and reports with NCA."
ECC - 1 : 2018, 2-13-3-5 ,Cybersecurity Incident and Threat Management,Collecting and handling threat intelligence feeds.
ECC - 1 : 2018,2/13/2004,Cybersecurity Incident and Threat Management,The requirements for cybersecurity incidents and threat management must be reviewed periodically.
ECC - 1 : 2018,14-Feb,Physical Security,"To ensure the protection of information and technology assets from unauthorized physical access, loss, theft and damage."
ECC - 1 : 2018,2/14/2001,Physical Security,"Cybersecurity requirements for physical protection of information and technology assets must be defined, documented and approved."
ECC - 1 : 2018,2/14/2002,Physical Security,The cybersecurity requirements for physical protection of information and technology assets must be implemented.
ECC - 1 : 2018,2/14/2003,Physical Security,The cybersecurity requirements for physical protection of information and technology assets must include at least the following:
ECC - 1 : 2018,2-14-3-1,Physical Security,"Authorized access to sensitive areas within the organization (e.g., data center, disaster recovery center, sensitive information processing facilities, security surveillance center, network cabinets)."
ECC - 1 : 2018,2-14-3-2,Physical Security,Facility entry/exit records and CCTV monitoring. 
ECC - 1 : 2018,2-14-3-3,Physical Security,Protection of facility entry/exit and surveillance records.
ECC - 1 : 2018,2-14-3-4,Physical Security,Secure destruction and re-use of physical assets that hold classified information (including documents and storage media).
ECC - 1 : 2018,2-14-3-5,Physical Security,Security of devices and equipment inside and outside the organization’s facilities.
ECC - 1 : 2018,2/14/2004,Physical Security,The cybersecurity requirements for physical protection of information and technology assets must be reviewed periodically.
ECC - 1 : 2018,15-Feb,Web Application Security,To ensure the protection of external web applications against cyber risks.
ECC - 1 : 2018,2/15/2001,Web Application Security,"Cybersecurity requirements for external web applications must be defined, documented and approved."
ECC - 1 : 2018,2/15/2002,Web Application Security,The cybersecurity requirements for external web applications must be implemented.
ECC - 1 : 2018,2/15/2003,Web Application Security,The cybersecurity requirements for external web applications must include at least the following: 
ECC - 1 : 2018,2-15-3-1,Web Application Security,Use of web application firewall.
ECC - 1 : 2018,2-15-3-2,Web Application Security, Adoption of the multi-tier architecture principle.  
ECC - 1 : 2018,2-15-3-3,Web Application Security,"Use of secure protocols (e.g., HTTPS)."
ECC - 1 : 2018,2-15-3-4,Web Application Security,Clarification of the secure usage policy for users.
ECC - 1 : 2018, 2-15-3-5 ,Web Application Security,Multi-factor authentication for users’ access.
ECC - 1 : 2018,2/15/2004,Web Application Security,The cybersecurity requirements for external web applications must be reviewed periodically.
ECC - 1 : 2018,1-Mar,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),"To ensure the inclusion of the cybersecurity resiliency requirements within the organization’s business continuity management and to remediate and minimize the impacts on systems, information processing facilities and critical e-services from disasters caused by cybersecurity incidents."
ECC - 1 : 2018,3/1/2001,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),"Cybersecurity requirements for business continuity management must be defined, documented and approved."
ECC - 1 : 2018,3/1/2002,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),The cybersecurity requirements for business continuity management must be implemented.
ECC - 1 : 2018,3/1/2003,Cybersecurity Resilience Aspects of Business Continuity Management (BCM),The cybersecurity requirements for business continuity management must include at least the following:
