Generalized Software Name,Software Name,Software Version,Patch Name,Article,Build Number,Details,Patch Release Date,Patch Classification
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4068 - Microsoft Edge (Chromium-based),,,CVE-2021-4068,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4067 - Microsoft Edge (Chromium-based),,,CVE-2021-4067,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4066 - Microsoft Edge (Chromium-based),,,CVE-2021-4066,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4065 - Microsoft Edge (Chromium-based),,,CVE-2021-4065,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4064 - Microsoft Edge (Chromium-based),,,CVE-2021-4064,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4063 - Microsoft Edge (Chromium-based),,,CVE-2021-4063,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4062 - Microsoft Edge (Chromium-based),,,CVE-2021-4062,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4061 - Microsoft Edge (Chromium-based),,,CVE-2021-4061,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4059 - Microsoft Edge (Chromium-based),,,CVE-2021-4059,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4058 - Microsoft Edge (Chromium-based),,,CVE-2021-4058,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4057 - Microsoft Edge (Chromium-based),,,CVE-2021-4057,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4056 - Microsoft Edge (Chromium-based),,,CVE-2021-4056,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4055 - Microsoft Edge (Chromium-based),,,CVE-2021-4055,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4054 - Microsoft Edge (Chromium-based),,,CVE-2021-4054,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4053 - Microsoft Edge (Chromium-based),,,CVE-2021-4053,"Dec 14, 2021",
Edge,Microsoft Edge,96.0.1054.62,CVE-2021-4052 - Microsoft Edge (Chromium-based),,,CVE-2021-4052,"Dec 14, 2021",
