Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Asset Contact Person,Comments
Cabinet,MA_MIN_OCC_CR_MSP,MA-MIN-OT-SW-SRVR-01,MA-MIN-OT-SW-SRVR-01,Mina OT Switch,Switch,Cisco,2960,,,,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA-MIN-WB-SW-AC-03,MA-MIN-WB-SW-AC-03,OT Switch cisco 2960x,Switch,Cisco,2960,,,,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA-MIN-OT-FW-01,MA-MIN-OT-FW-01,Mina OT Firewall,Firewall,Palo Alto,PA-220,,012801197833,,,,,
Cabinet,MA_MIN_OCC_CR_MSP,MA-MIN-OT-VMD-01,MA-MIN-OT-VMD-01,Mina OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,NSGL100-U,,2033BA2666,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA-PS5-SCD-RT-WAN-01,MA-PS5-SCD-RT-WAN-01,O.T Router Cisco 4331,Router,Cisco,4331,,,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA-PS5-OT-SW-SRVR-01,MA-PS5-OT-SW-SRVR-01,PS5 OT Switch,Switch,Cisco,2960,,,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA-PS5-CC-RT-WN-01,MA-PS5-CC-RT-WN-01,IT Router Cisco 4300 STC,Router,Cisco,4300,,,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA-PS5-CC-RT-WN-02,MA-PS5-CC-RT-WN-02,IT Router Cisco 4300 NourNet,Router,Cisco,4300,,,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA_PS5-PA850-1,MA_PS5-PA850-1,Firewall for IT and OT,Firewall,Palo Alto,PA-850,,,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA-PS5-CC-SW-AC-01,MA-PS5-CC-SW-AC-01,IT Switch cisco 2960x,Switch,Cisco,2960,,,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA-PS5-OT-FW-01,MA-PS5-OT-FW-01,PS5 OT Firewall,Firewall,Palo Alto,PA-220,,012801197974,,,,,
Cabinet,MA_PS5_OCC_DC_SRK,MA-PS5-OT-VMD-01,MA-PS5-OT-VMD-01,PS5 OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,NSGL100-U,,2024BA4096,,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA-MOA-FS-RT-WN-01,MA-MOA-FS-RT-WN-01,IT Router,Router,Cisco,1921,,,,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA-MOA-OT-SW-SRVR-01,MA-MOA-OT-SW-SRVR-01,MAPA OT Switch,Switch,Cisco,IE5000,,,,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA-MOA-OT-FW-01,MA-MOA-OT-FW-01,MAPA OT Firewall,Firewall,Palo Alto,PA-220,,012801197786,,,,,
Cabinet,MA_MOA_SCB_CR_SRK,MA-MOA-OT-VMD-01,MA-MOA-OT-VMD-01,MAPA OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,NSGL100-U,,2033BA2652,,,,,
Cabinet,HQ_MB_DC_RK3,HQ-OT-FW-01,HQ-OT-FW-01,HQ OT Firewall 1,Firewall,Palo Alto,PA-3220,,016201030117,,,,,
Cabinet,HQ_MB_DC_RK3,HQ-OT-FW-02,HQ-OT-FW-02,HQ OT Firewall 2,Firewall,Palo Alto,PA-3220,,016201030110,,,,,
Cabinet,HQ_MB_DC_RK3,HQ-OT-SW-EXT,HQ-OT-SW-EXT,HQ OT Switch connected to OT Cloud,Switch,Cisco,C1000,,,,,,,
Cabinet,HQ_MB_DC_RK3,HQ-OT-SW-01,HQ-OT-SW-01,HQ OT Switch for OT Zones,Switch,Cisco,C1000,,FOC2505L9ZG,,,,,
Cabinet,HQ_MB_DC_RK3,HQ-OT-GPS-01,HQ-OT-GPS-01,HQ OT GPS Clock Master,GPS Clock Master,,,,,,,,,
Cabinet,JD_BM-PH1_KIOSK-1,JD_BM-PH1_K1SW1,JD_BM-PH1_K1SW1,KIOSK-1 Switch-1,OT Switch,Schneider,M258,499NES18100,,,,499NES18100,,
Cabinet,JD_BM-PH1_KIOSK-1,JD_BM-PH1_K1SW2,JD_BM-PH1_K1SW2,KIOSK-1 Switch-2,OT Switch,Schneider,M258,499NES18100,,,,499NES18100,,
Cabinet,JD_BM-PH1_KIOSK-2,JD_BM-PH1_K2SW1,JD_BM-PH1_K2SW1,KIOSK-2 Switch-1,OT Switch,Schneider,M258,499NES18100,,,,499NES18100,,
Cabinet,JD_BM-PH1_KIOSK-2,JD_BM-PH1_K2SW2,JD_BM-PH1_K2SW2,KIOSK-2 Switch-2,OT Switch,Schneider,M258,499NES18100,,,,499NES18100,,
Cabinet,JD_BM-PH1_KIOSK-3,JD_BM-PH1_K3SW,JD_BM-PH1_K3SW,KIOSK-3 Switch,OT Switch,Schneider,,TCSESU053PN0,,,,,,
Cabinet,JD_BM-PH2_SC,JD_BM-PH2_SCADASW01,JD_BM-PH2_SCADASW01,SCADA Switch-1,OT Switch,WAGO,,852-303,,,,,,
Cabinet,JD_BM-PH2_SC,JD_BM-PH2_SCADASW02,JD_BM-PH2_SCADASW02,SCADA Switch-2,OT Switch,WAGO,,852-104,,,,,,
Cabinet,JD_BM-PH2_LCP-V-05,JD_BM-PH2_LCP-V-05_SW,LCP-V-05 Switch,LCP-V-05 Switch,OT Switch,WAGO,,852-104,,,,,,
Cabinet,JD_BM-PH2_LCP-V-06,JD_BM-PH2_LCP-V-06_SW,LCP-V-06 Switch,LCP-V-06 Switch,OT Switch,WAGO,,852-104,,,,,,
Cabinet,JD_BM-PH2_LCP-V-07,JD_BM-PH2_LCP-V-07_SW,LCP-V-07 Switch,LCP-V-07 Switch,OT Switch,WAGO,,852-104,,,,,,
Cabinet,JD_BM-PH2_SC,JD_BM-PH2_GPRS-MDM1,JD_BM-PH2_GPRS-MDM1,Server Cabinet GPRS Modem1,Modem GPRS,Viola Systems,,,,,,,,
Cabinet,JD_BM-PH2_SC,JD_BM-PH2_GPRS-MDM2,JD_BM-PH2_GPRS-MDM2,Server Cabinet GPRS Modem2,Modem GPRS,Viola Systems,,,,,,,,
Cabinet,JD_AK-4_ABB_ABS,JD_AK-4_ABB_ABS_LNX-SW,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_AMB_EMPP,JD_AK-4_AMB_EMPP_LNX-SW1,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_AMB_RWAPP,JD_AK-4_AMB_RWAPP_LNX-SW2,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_AMB_RWBPP,JD_AK-4_AMB_RWBPP_LNX-SW3,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_FEB_FEC,JD_AK-4_FEB_FEC_LNX-SW,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_SFB_TF1,JD_AK-4_SFB_TF1_LNXSW,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_SDB_SD,JD_AK-4_SDB_SD_LNX-SW,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_MSB_MSG,JD_AK-4_MSB_MSG_LNX-SW,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_IB_IW,JD_AK-4_IB_IW_LNX-SW,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Cabinet,JD_AK-4_SFB_TF1,JD_AK-4_SFB_TF1_HM-SW,Hirschmann Switch,,OT Switch,Hirshmann,Spider,Spider 5TX,,,,,,
Cabinet,JD_AP1-WWTP_MCRS_CRP,JD_AP1-WWTP_MCRS_CRP_CX-SW,ConneXium Switch, Unmanaged Switch ,OT Switch,Schneider,ConneXium Switch,499NES18100,,,,`,,
Cabinet,JD_AP1-WWTP_MCRS_CRP,JD_AP1-WWTP_MCRS_CX-SW,ConneXium Switch, Managed Fiber Switch ,OT Switch,Schneider,ConneXium Switch,TCSESM043F2CU0,,,,,,
Cabinet,JD_AP1-WWTP_GEB_MP,JD_AP1-WWTP_GEB_MP_CX-SW,ConneXium Switch, Managed Fiber Switch ,OT Switch,Schneider,ConneXium Switch,TCSESM043F2CU0,,,,,,
Cabinet,JD_AP1-WWTP_BIO-P-TB_BIO-P-TSC,JD_AP1-WWTP_BIO-P-TB_BIO-P-TSC_CX-SW,ConneXium Switch, Managed Fiber Switch ,OT Switch,Schneider,ConneXium Switch,TCSESM043F2CU0,,,,,,
Cabinet,JD_AP1-WWTP_NIB_IRIO-02,JD_AP1-WWTP_NIB_IRIO-02_CX-SW,ConneXium Switch, Managed Fiber Switch ,OT Switch,Schneider,ConneXium Switch,TCSESM043F2CU0,,,,,,
Cabinet,JD_AP1-WWTP_NIB_SPP,JD_AP1-WWTP_NIB_SPP_AB-PLC,Siemens Switch,Siemens Industrial Unmanaged Switch,OT Switch,Siemens,,XB005,,,,,,
Cabinet,JD_AP1-WWTP_NABB_MBCP,JD_AP1-WWTP_NABB_MBCP_CX-SW,ConneXium Switch,Managed Fiber Switch,OT Switch,Schneider,ConneXium Switch,TCSESM043F2CU0,,,,,,
Cabinet,JD_AP1-WWTP_ATB_ATSC,JD_AP1-WWTP_ATB_ATSC_CX-SW,ConneXium Switch,Managed Fiber Switch,OT Switch,Schneider,ConneXium Switch,TCSESM043F2CU0,,,,,,
Cabinet,JD_AP1-WWTP_SCB_SCBSC,JD_AP1-WWTP_SCB_SCBSC_TP-Link,TP-Link Switch,Desktop Switch,OT Switch,Tp-LINK,,TL-SF1005D,,,,,,
Cabinet,JD_AP1-WWTP_SCB_HG,JD_AP1-WWTP_SCB_HG_EFC,Ethernet to Fiber Media Gateway,2- Channel Ethernet to Fiber Media Gateway,Gateway,korenix,JetCon 2302,,,,,,,
Cabinet,JD_AP1-WWTP_CSB_CSSB,JD_AP1-WWTP_CSB_CSSB_CX-SW,ConneXium Switch,Managed Fiber Switch,OT Switch,Schneider,ConneXium Switch,TCSESM043F2CU0,,,,,,
Cabinet,JD_FAS_IT_SC,JD_FAS_IT_SC_S-SW1,SCADA Switch1,,Switch,Cisco,Catalyst 2960 Series,,,,,,,
Cabinet,JD_FAS_IT_SC,JD_FAS_IT_SC_S-U-SW,SCADA Uplink Switch,,Switch,Cisco,Catalyst 2960 Series,,,,,,,
Cabinet,JD_FAS_IT_SC,JD-FAS-OT-FW-01,JD-FAS-OT-FW-01,Faisaliyah OT Firewall 1,Firewall,Palo Alto,PA-820,,012001068055,,,,,
Cabinet,JD_FAS_IT_SC,JD-FAS-OT-FW-02,JD-FAS-OT-FW-02,Faisaliyah OT Firewall 2,Firewall,Palo Alto,PA-820,,012001068025,,,,,
Cabinet,JD_FAS_IT_SC,JD-FAS-OT-VMD-01,JD-FAS-OT-VMD-01,Faisaliyah OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,NSGL100-U,,,,,,,
Cabinet,JD_FAS_IT_SC,JD-FAS-OT-EXT-SW-01,JD-FAS-OT-EXT-SW-01,Faisaliyah OT Switch connected to Cloud,Switch,Cisco,,,,,,,,
Cabinet,JD_FAS_IT_SC,JD-FAS-OT-SW-01,JD-FAS-OT-SW-01,Faisaliyah OT SCADA Switch,Switch,Cisco,,,,,,,,
Cabinet,JD_BM-PH2_SC,JD-BM-PH2-OT-FW-01,JD-BM-PH2-OT-FW-01,Briman Phase-2 OT Firewall,Firewall,Palo Alto,PA-220,,012801224101,,,,,
Cabinet,JD_BM-PH2_SC,JD-BM-PH2-OT-VMD-01,JD-BM-PH2-OT-VMD-01,Briman Phase-2 OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,,,,,,,,
Cabinet,JD_BM-PH2_SC,JD-BM-PH2-OT-SW-01,JD-BM-PH2-OT-SW-01,Briman Phase-2 OT SCADA Switch,Switch,NETGEAR,,,,,,,,
Room,MA_HAD_ADB_SCDR,MA-HAD-SW0,,HADA SCADA CCR Main Switch,Switch,Cisco,SD208 V1.2,,PSJ13430AIH,,,,,
Room,JD_AK-3_MCRS,JD_AK-3_SCADA-SW,JD_AK-3_SCADA-SW,SCADA Switch,OT Switch,WAGO,,852-104,,,,,,
Room,JD_AK-4_MCRS,JD_AK-4_MCRS_LCX-SW,Lanolinx Switch,,OT Switch,Lanolinx,,LNX-602A S3,,,,,,
Room,JD_AK-6_MCRS,JD_AK-6_MCRS_ETH-SW,Ethernet Switch,,OT Switch,TP-LINK,,TL-SF1008D,,,,,,
Room,JD_PSB_PSB_OCC,JD_PSB_PSB_A-SW2,Access Switch,,Switch,,,,,,,,,
Room,JD_PSB_PSB_CR,JD_PSB_PSB_A-SW3,Access Switch,,Switch,,,,,,,,,
Room,JD_PSB_PSB_OCC,JD-PSB-OT-SW-02,JD-PSB-OT-SW-02,Prince Sultan Building OT SCADA Switch Smart Ops,Switch,Cisco,,,,,,,,
Room,JD_PSB_PSB_CR,JD-PSB-OT-SW-03,JD-PSB-OT-SW-03,Prince Sultan Building OT SCADA Switch OCC,Switch,Cisco,,,,,,,,
Room,JD_AK-3_MCRS,JD-AK-3-OT-FW-01,JD-AK-3-OT-FW-01,Al Khomrah 3 OT Firewall,Firewall,Palo Alto,PA-220,,012801223313,,,,,
Room,JD_AK-3_MCRS,JD-AK-3-OT-VMD-01,JD-AK-3-OT-VMD-01,Al Khomrah 3 OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,,,,,,,,
Room,JD_AK-3_MCRS,JD-AK-3-OT-SW-01,JD-AK-3-OT-SW-01,Al Khomrah 3 OT SCADA Switch,Switch,Cisco,,,,,,,,
Room,TF_MAT_DC,TF-MAT-OT-FW-01,TF-MAT-OT-FW-01,Al Mathna OT Firewall 1,Firewall,Palo Alto,PA-220,,,,,,,
Room,TF_MAT_DC,TF-MAT-OT-FW-02,TF-MAT-OT-FW-02,Al Mathna OT Firewall 2,Firewall,Palo Alto,PA-220,,,,,,,
Room,TF_MAT_DC,TF-MAT-OT-VMD-01,TF-MAT-OT-VMD-01,Al Mathna OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi,,,,,,,,
Room,TF_MAT_DC,TF-MAT-OT-SW-EXT,TF-MAT-OT-SW-EXT,Al Mathna OT Switch connected to Cloud,Switch,,,,,,,,,
Room,TF_MAT_DC,TF-MAT-OT-SW,TF-MAT-OT-SW,Al Mathna OT SCADA Switch,Switch,,,,,,,,,
Room,TF_ARJ_MCR,TF-ARJ-OT-FW-01,TF-ARJ-OT-FW-01,Al Arj OT Firewall,Firewall,Palo Alto,PA-220,,,,,,,
Room,TF_ARJ_MCR,TF-ARJ-OT-VMD-01,TF-ARJ-OT-VMD-01,Al Arj OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,,,,,,,,
Room,TF_ARJ_MCR,TF-ARJ-OT-SW,TF-ARJ-OT-SW,Al Arj OT SCADA Switch,Switch,,,,,,,,,
Room,TF_WAQ_MCR,TF-WAQ-OT-FW-01,TF-WAQ-OT-FW-01,Al Waqadeen OT Firewall,Firewall,Palo Alto,PA-220,,,,,,,
Room,TF_WAQ_MCR,TF-WAQ-OT-VMD-01,TF-WAQ-OT-VMD-01,Al Waqadeen OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,,,,,,,,
Room,TF_WAQ_MCR,TF-WAQ-OT-SW-01,TF-WAQ-OT-SW-01,Al Waqadeen OT SCADA Switch,Switch,,,,,,,,,
Room,TF_ST_MCR,ST-OT-FW-01,ST-OT-FW-01,Strategic Tank OT Firewall,Firewall,Palo Alto,PA-220,,,,,,,
Room,TF_ST_MCR,ST-OT-VMD-01,ST-OT-VMD-01,Strategic Tank OT Vulnerability Monitoring Device,Vulnerability Management,Nozomi Networks,,,,,,,,
Room,TF_ST_MCR,ST-OT-SW-01,ST-OT-SW-01,Strategic Tank OT SCADA Switch,Switch,,,,,,,,,
Room,TF_ST_MCR,TF_ST_MCR_EMC-01,TF_ST_MCR_EMC-01,10/100Mbps Multi-Mode Media Converter,Ethernet Media Converter,TP-Link,MC100CM,,,,,,,
Room,TF_ST_MCR,TF_ST_MCR_EMC-02,TF_ST_MCR_EMC-02,10/100Mbps Multi-Mode Media Converter,Ethernet Media Converter,TP-Link,MC100CM,,,,,,,
Room,TF_ST_MCR,TF_ST_MCR_EMC-03,TF_ST_MCR_EMC-03,10/100Mbps Multi-Mode Media Converter,Ethernet Media Converter,TP-Link,MC100CM,,,,,,,
Room,TF_ST_MCR,TF_ST_MCR_EMC-04,TF_ST_MCR_EMC-04,10/100Mbps Multi-Mode Media Converter,Ethernet Media Converter,TP-Link,MC100CM,,,,,,,
Room,TF_ST_MCR,TF_ST_MCR_EMC-05,TF_ST_MCR_EMC-05,10/100Mbps Multi-Mode Media Converter,Ethernet Media Converter,TP-Link,MC100CM,,,,,,,
Room,TF_ST_MCR,TF_ST_MCR_RM,TF_ST_MCR_RM,Satel Radio Modem,Radio Modem,Satel,EASy+,,,,,,,
Room,JD_AP1-LS_ADM,JD_AP1-LS_ADM_SW-01,,,,,,,,,,,,
Room,JD_AP1-LS_ADM,JD_AP1-LS_ADM_SW-02,,,,,,,,,,,,
Building,JD_AK-3_DFB,JD_AK-3_DFBSW,JD_AK-3_DFBSW,DF Building Switch,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_SDB,JD_AK-3_SBSW-1,JD_AK-3_SBSW-1,SD Building Switch-1,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_SDB,JD_AK-3_SBSW-2,JD_AK-3_SBSW-2,SD Building Switch-2,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_K4B,JD_AK-3_K4B-SW,JD_AK-3_K4B-SW,K4 Building Switch,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_ATB,JD_AK-3_AT-SW,JD_AK-3_AT-SW,AT Building Switch,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_BB,JD_AK-3_BB-SW,JD_AK-3_BB-SW,Blower Building Switch-1,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_K5B,JD_AK-3_K5B-SW,JD_AK-3_K5B-SW,K5 Building Switch,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_MCC,JD_AK-3_MCC-SW,JD_AK-3_MCC-SW,MCC Switch,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_RPS,JD_AK-3_RPS-SW,JD_AK-3_RPS-SW,RPS Switch,OT Switch,WAGO,,852-104,,,,,,
Building,JD_AK-3_BB,JD_AK-3_BBSW-1,JD_AK-3_BBSW-1,Blower Building Switch-1,IE Switch,Siemens,Simatic,S7 IE,,,,,,
Building,JD_AK-3_BB,JD_AK-3_BBSW-2,JD_AK-3_BBSW-2,Blower Building Switch-2,IE Switch,Siemens,Simatic,S7 IE,,,,,,
Building,JD_AK-3_BB,JD_AK-3_BBSW-3,JD_AK-3_BBSW-3,Blower Building Switch-3,IE Switch,Siemens,Simatic,S7 IE,,,,,,
Building,JD_AK-3_BB,JD_AK-3_BBSW-4,JD_AK-3_BBSW-4,Blower Building Switch-4,IE Switch,Siemens,Simatic,S7 IE,,,,,,
Building,JD_AK-3_BB,JD_AK-3_BBSW-5,JD_AK-3_BBSW-5,Blower Building Switch-5,IE Switch,Siemens,Simatic,S7 IE,,,,,,
Building,JD_AK-3_RPS,JD_AK-3_GEN-M-GW,JD_AK-3_GEN-M-GW,RTU Generator Modbus Gateway,Modbus Gateway,Anybus,,,,,,,,
Building,JD_AK-3_RPS,JD_AK-3_RM,JD_AK-3_RM,Radio Modem,Radio Modem,Schneider,Trio,KR240,,,,,,
Building,JD_AK-3_DFB,JD_AK-3_SOW,JD_AK-3_SOW,Scalance OT Switch,OT Switch,Siemens,Scalance,X204-2,,,,,,
Building,JD_AP1-LS_MCC1,JD_AP1-LS_MCC1_SW-01,,,,,,,,,,,,
Building,JD_AP1-LS_MCC1,JD_AP1-LS_MCC1_SW-02,,,,,,,,,,,,
Building,JD_AP1-LS_MCC1,JD_AP1-LS_MCC1_SW-03,,,,,,,,,,,,
Building,JD_AP1-LS_MCC1,JD_AP1-LS_MCC1_SW-04,,,,,,,,,,,,
Building,JD_AP1-LS_MCC1,JD_AP1-LS_MCC1_SW-05,,,,,,,,,,,,
Building,JD_AP1-LS_MCC2,JD_AP1-LS_MCC2_SW-01,,,,,,,,,,,,
Building,JD_AP1-LS_MCC2,JD_AP1-LS_MCC2_SW-02,,,,,,,,,,,,
Building,JD_AP1-LS_MCC2,JD_AP1-LS_MCC2_SW-03,,,,,,,,,,,,
Building,JD_AP1-LS_MCC2,JD_AP1-LS_MCC2_SW-04,,,,,,,,,,,,
Building,JD_AP1-LS_MCC2,JD_AP1-LS_MCC2_SW-05,,,,,,,,,,,,
Building,JD_AP1-LS_MCC2,JD_AP1-LS_MCC2_SW-06,,,,,,,,,,,,
SubSite,TF_ST_GDOW,TF_ST_GDOW_RM,TF_ST_GDOW_RM,Satel Radio Modem,Radio Modem,Satel,EASy+,,,,,,,
SubSite,TF_ST_S1760,TF_ST_S1760_RM,TF_ST_S1760_RM,Satel Radio Modem,Radio Modem,Satel,EASy+,,,,,,,
SubSite,TF_ST_AH,TF_ST_AH_RM,TF_ST_AH_RM,Satel Radio Modem,Radio Modem,Satel,EASy+,,,,,,,
SubSite,TF_ST_S1790,TF_ST_S1790_RM,TF_ST_S1790_RM,Satel Radio Modem,Radio Modem,Satel,EASy+,,,,,,,
SubSite,TF_ST_QW,TF_ST_QW_RM,TF_ST_QW_RM,Satel Radio Modem,Radio Modem,Satel,EASy+,,,,,,,
Site,BD-1,Badia-1,Badia-1,router,router,Cisco,CISCO2911/K9,,,,,,,
Site,BD-5,NWC_Badea_5,NWC_Badea_5,Router,Router,Cisco,CISCO1841,,,,,,,
Site,BWB-WTP,RD-BWB-WTP-OT-FW-01,RD-BWB-WTP-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214517,,,-,,
Site,BWB-WTP,RD-BWB-WTP-OT-SW-01,RD-BWB-WTP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,-,,
Site,BWB-WTP,RD-BWB-WTP-OT-VMD-01,RD-BWB-WTP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1493,,,-,,
Site,EX-10,RD-E10-OT-FW-01,RD-E10-OT-FW-01,Exit-10 OT Firewall 1,OT Firewall,Palo Alto,PA-820,,012001059079,,,Exit-10 OT Firewall 2,,
Site,EX-10,RD-E10-OT-FW-02,RD-E10-OT-FW-02,Exit-10 OT Firewall 2,OT Firewall,Palo Alto,PA-820,,012001059184,,,Exit-10 OT Firewall 1,,
Site,EX-10,RD-E10-OT-SW-EXT,RD-E10-OT-SW-EXT,Exit-10 OT Switch connected to Cloud,OT Switch,Cisco,C1000,,,,,-,,
Site,EX-17,RD-ET17-OT-FW-01,RD-ET17-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214514,,,-,,
Site,EX-17,RD-ET17-OT-SW-01,RD-ET17-OT-SW-01,OT Switch,OT Switch,Cisco,Cisco C1000-24T-4G-L ,C1000-24T-4G-L,FOC2552Y8RS,,15.2(7)E4,-,,
Site,EX-10,RD-ET10-OT-SW-02,RD-ET10-OT-SW-02,OT Switch,OT Switch,Cisco,C1000,,,,,-,,
Site,EX-10,RD-ET10-OT-SW-SRVR-01,RD-ET10-OT-SW-SRVR-01,OT Switch,OT Switch,Cisco,C1000,,,,,-,,
Site,EX-10,RD-ET10-OT-VMD-01,RD-ET10-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1479,,,-,,
Site,EX-17,RD-ET17-OT-VMD-01,RD-ET17-OT-VMD-01,Nozomi,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1486,,,-,,
Site,HET-STP,RD-HET-STP-OT-FW-01,RD-HET-STP-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214520,,,-,,
Site,HET-STP,RD-HET-STP-OT-SW-01,RD-HET-STP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,-,,
Site,HET-STP,RD-HET-STP-OT-VMD-01,RD-HET-STP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1487,,,-,,
Site,HYR-STP,RD-HYR-STP-OT-FW-01,RD-HYR-STP-OT-FW-01,OT Firewall,OT Firewall,PaloAlto,PA 220,,12801214519,,,-,,
Site,HYR-STP,RD-HYR-STP-OT-SW-01,RD-HYR-STP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,-,,
