Title,Document Number,Version,Date,Description,Category,Sub Category,File
NWC OT Cybersecurity Risk Management Policy,A01001045-POL-RM,0,,,NWC OT Policy,,A01001045-POL-RM.00.docx
NWC OT Cybersecurity Systems Security Policy,A01001045-POL-SS,0,,,NWC OT Policy,,A01001045-POL-SS.00.docx
NWC OT Cybersecurity Access Control Management Procedure,A01001045-PRO-AC,0,,,NWC OT Procedure,,A01001045-PRO-AC.00.pdf
NWC OT Cybersecurity Asset Management Procedure,A01001045-PRO-AM,0,,,NWC OT Procedure,,A01001045-PRO-AM.00.pdf
NWC OT Cybersecurity Backup and Recovery Procedure,A01001045-PRO-BKREC,0,,,NWC OT Procedure,,A01001045-PRO-BKREC.00.pdf
NWC OT Cybersecurity Change Management Procedure,A01001045-PRO-CM,1,,,NWC OT Procedure,,A01001045-PRO-CM.01.pdf
NWC OT Cybersecurity Endpoint Protection Management Procedure,A01001045-PRO-EP,0,,,NWC OT Procedure,,A01001045-PRO-EP.00.pdf
NWC OT Cybersecurity Human Resource Procedure,A01001045-PRO-HR,0,,,NWC OT Procedure,,A01001045-PRO-HR.00.pdf
NWC OT Cybersecurity Incident Response Procedure,A01001045-PRO-IR,0,,,NWC OT Procedure,,A01001045-PRO-IR.00.pdf
NWC OT Cybersecurity Patch Management Procedure,A01001045-PRO-PAM,1,,,NWC OT Procedure,,A01001045-PRO-PAM.01.pdf
NWC OT Cybersecurity Physical Security Procedure,A01001045-PRO-PHYSEC,0,,,NWC OT Procedure,,A01001045-PRO-PHYSEC.00.pdf
NWC OT Cybersecurity Password Management Procedure,A01001045-PRO-PM,1,,,NWC OT Procedure,,A01001045-PRO-PM.01.pdf
NWC OT Cybersecurity Remote Access Procedure,A01001045-PRO-RA,0,,,NWC OT Procedure,,A01001045-PRO-RA.00.pdf
NWC OT Cybersecurity Removeable Media Procedure,A01001045-PRO-REM,0,,,NWC OT Procedure,,A01001045-PRO-REM.00.pdf
NWC OT Cybersecurity Risk Management Procedure,A01001045-PRO-RM,0,,,NWC OT Procedure,,A01001045-PRO-RM.00.pdf
NWC OT Cybersecurity System and Network Security Procedure,A01001045-PRO-SNS,0,,,NWC OT Procedure,,A01001045-PRO-SNS.00.pdf
NWC OT Cybersecurity RCBU Bowaib WTP Network Architecture,A01001045-RCBU-BWB-WTP-NA,0,,,Architecture,,A01001045-RCBU-BWB-WTP-NA.00.pdf
NWC OT Cybersecurity RCBU Existing Data Flow Drawing,A01001045-RCBU-DF,0,,,Architecture,,A01001045-RCBU-DF.00.pdf
NWC OT Cybersecurity RCBU Exit 10  Network Architecture,A01001045-RCBU-ET10-NA,0,,,Architecture,,A01001045-RCBU-ET10-NA.00.pdf
NWC OT Cybersecurity RCBU Exit 17 Network Architecture,A01001045-RCBU-ET17-NA,0,,,Architecture,,A01001045-RCBU-ET17-NA.00.pdf
NWC OT Cybersecurity RCBU Level-1 Devices Hardening Design,A01001045-RCBU-HDN-L1,1,,,Design,,A01001045-RCBU-HDN-L1.01.pdf
NWC OT Cybersecurity RCBU Heet WWTP Network Architecture,A01001045-RCBU-HEET-WWTP-NA,0,,,Architecture,,A01001045-RCBU-HEET-WWTP-NA.00.pdf
NWC OT Cybersecurity RCBU HPT Network Architecture,A01001045-RCBU-HPT-NA,0,,,Architecture,,A01001045-RCBU-HPT-NA.00.pdf
NWC OT Cybersecurity RCBU HYR WTP Network Architecture,A01001045-RCBU-HYR-WTP-NA,0,,,Architecture,,A01001045-RCBU-HYR-WTP-NA.00.pdf
NWC OT Cybersecurity RCBU HYR WWTP Network Architecture,A01001045-RCBU-HYR-WWTP-NA,0,,,Architecture,,A01001045-RCBU-HYR-WWTP-NA.00.pdf
NWC OT Cybersecurity RCBU Malaz WTP Network Architecture,A01001045-RCBU-MLZ-WTP-NA,0,,,Architecture,,A01001045-RCBU-MLZ-WTP-NA.00.pdf
NWC OT Cybersecurity RCBU Manfouha WTP Network Architecture,A01001045-RCBU-MNF-WTP-NA,0,,,Architecture,,A01001045-RCBU-MNF-WTP-NA.00.pdf
NWC OT Cybersecurity RCBU Manfouha WWTP Network Architecture,A01001045-RCBU-MNF-WWTP-NA,0,,,Architecture,,A01001045-RCBU-MNF-WWTP-NA.00.pdf
NWC OT Cybersecurity RCBU Shomaisy WTP Network Architecture,A01001045-RCBU-SHM-WTP-NA,0,,,Architecture,,A01001045-RCBU-SHM-WTP-NA.00.pdf
NWC OT Cybersecurity RCBU Salboukh WTP Network Architecture,A01001045-RCBU-SLBK-WTP-NA,0,,,Architecture,,A01001045-RCBU-SLBK-WTP-NA.00.pdf
NWC OT Cybersecurity RCBU SR02 Network Architecture,A01001045-RCBU-SR02-NA,0,,,Architecture,,A01001045-RCBU-SR02-NA.00.pdf
NWC OT Cybersecurity RCBU TGC Network Architecture,A01001045-RCBU-TGC-NA,0,,,Architecture,,A01001045-RCBU-TGC-NA.00.pdf
NWC OT Cybersecurity RCBU TGE Network Architecture,A01001045-RCBU-TGE-NA,0,,,Architecture,,A01001045-RCBU-TGE-NA.00.pdf
NWC OT Cybersecurity RCBU TGN Network Architecture,A01001045-RCBU-TGN-NA,0,,,Architecture,,A01001045-RCBU-TGN-NA.00.pdf
NWC OT Cybersecurity RCBU TGNW Network Architecture,A01001045-RCBU-TGNW-NA,0,,,Architecture,,A01001045-RCBU-TGNW-NA.00.pdf
NWC OT Cybersecurity RCBU TGW Network Architecture,A01001045-RCBU-TGW-NA,0,,,Architecture,,A01001045-RCBU-TGW-NA.00.pdf
NWC OT Cybersecurity RCBU Wasia WTP Network Architecture,A01001045-RCBU-WAS-WTP-NA,0,,,Architecture,,A01001045-RCBU-WAS-WTP-NA.00.pdf
NWC OT Cybersecurity TCBU Al-Araj WWTP Network Architecture,A01001045-TCBU-ARJ-WWTP-NA,2,,,Architecture,,A01001045-TCBU-ARJ-WWTP-NA.02.pdf
NWC OT Cybersecurity TCBU Existing Data Flow Drawing,A01001045-TCBU-DF,1,,,Architecture,,A01001045-TCBU-DF.01.pdf
NWC OT Cybersecurity TCBU Level-1 Devices Hardening Design,A01001045-TCBU-HDN-L1,0,,,Design,,A01001045-TCBU-HDN-L1.00.pdf
NWC OT Cybersecurity TCBU Al-Mathna Network Architecture,A01001045-TCBU-MAT-NA,3,,,Architecture,,A01001045-TCBU-MAT-NA.03.pdf
NWC OT Cybersecurity TCBU Strategic Tanks Network Architecture,A01001045-TCBU-ST-NA,2,,,Architecture,,A01001045-TCBU-ST-NA.02.pdf
NWC OT Cybersecurity TCBU Al-Waqadeen Lifting Station Network Architecture,A01001045-TCBU-WAQ-LS-NA,1,,,Architecture,,A01001045-TCBU-WAQ-LS-NA.01.pdf
